Designator,Mid X,Mid Y,Layer,Rotation
C1,10.16,15.08,Top,90
C2,26.04,16.51,Top,270
C3,59.53,16.99,Top,0
C4,76.84,16.51,Top,270
C5,34.37,17.14,Top,0
C6,51.12,16.67,Top,270
C7,10.79,33.66,Top,180
C8,10.79,29.53,Top,0
C9,31.12,33.66,Top,180
C10,31.35,29.37,Top,0
C11,50.48,33.73,Top,0
C12,50.48,29.45,Top,180
C13,7.62,8.73,Top,270
C14,60.96,8.73,Top,90
C15,35.56,8.73,Top,270
C16,70.8,33.73,Top,0
C17,71.12,30,Top,90
C18,8.18,13.89,Top,90
C19,3.49,16.35,Top,90
C20,30.48,8.18,Top,270
C21,29.85,18.65,Top,270
C22,55.88,9.68,Top,270
C23,17.54,25.72,Top,0
C24,47.94,21.59,Top,0
C25,48.26,25.08,Top,0
C26,56.04,21.59,Top,180
C27,56.04,25.08,Top,180
C28,55.48,19.37,Top,0
C29,82.79,12.62,Top,270
C30,79.61,20.08,Top,270
C31,58.1,24.37,Top,90
C32,58.1,22.3,Top,90
DA1,43.18,15.08,Top,0
DA2,17.78,15.08,Top,0
DA3,68.58,15.08,Top,0
IC1,23.18,23.34,Top,0
IC2,55.88,15.08,Top,180
IC3,5.71,15.08,Top,0
IC4,52.07,23.34,Top,0
IC6,80.65,15.08,Top,0
IC7,30.48,13.49,Top,180
IC8,11.43,31.59,Top,0
IC9,31.75,31.59,Top,0
IC10,52.07,31.59,Top,0
IC11,72.39,31.59,Top,0
R1,15.72,20.4,Top,0
R2,13.97,8.73,Top,90
R3,15.24,8.73,Top,90
R4,11.43,8.73,Top,90
R5,21.59,8.73,Top,90
R6,20.32,8.73,Top,90
R7,24.13,8.73,Top,90
R8,21.59,15.08,Top,90
R9,22.86,15.08,Top,90
R10,24.13,15.08,Top,90
R11,13.97,15.08,Top,90
R12,15.24,15.08,Top,90
R13,11.43,15.08,Top,90
R14,66.99,8.73,Top,90
R15,65.72,8.73,Top,90
R16,62.23,8.73,Top,90
R17,72.39,8.73,Top,90
R18,71.12,8.73,Top,90
R19,74.93,8.73,Top,90
R20,72.39,15.08,Top,90
R21,73.66,15.08,Top,90
R22,74.93,15.08,Top,90
R23,64.77,15.08,Top,90
R24,63.5,15.08,Top,90
R25,62.23,15.08,Top,90
R26,40.64,8.73,Top,90
R27,39.37,8.73,Top,90
R28,36.83,8.73,Top,90
R29,46.51,8.73,Top,90
R30,47.63,8.73,Top,90
R31,49.53,8.73,Top,90
R32,45.4,15.08,Top,90
R33,46.51,15.08,Top,90
R34,48.1,15.08,Top,90
R35,39.37,15.08,Top,90
R36,38.1,15.08,Top,90
R37,36.83,15.08,Top,90
R38,8.89,8.73,Top,90
R39,59.37,8.73,Top,90
R40,34.29,8.73,Top,90
R41,5.71,10.32,Top,0
R42,28.1,8.18,Top,270
R43,28.5,19.05,Top,90
R44,5.4,19.84,Top,0
R45,57.15,8.73,Top,90
R46,80.65,10.16,Top,180
R47,80.88,20.72,Top,90
R48,58.1,20.48,Top,180
R49,41.91,15.08,Top,270
R50,54.61,8.73,Top,90
R51,32.46,8.18,Top,270
R52,52.39,15.08,Top,90
R53,17.78,30.64,Top,0
R54,17.78,32.54,Top,0
R55,38.1,30.64,Top,0
R56,38.1,32.54,Top,0
R57,25.4,30.64,Top,180
R58,25.4,32.54,Top,180
R59,5.08,30.64,Top,180
R60,5.08,32.54,Top,180
R61,59.69,30.64,Top,180
R62,59.69,32.54,Top,180
R63,78.74,30.64,Top,0
R64,78.74,32.54,Top,0
R65,66.04,30.64,Top,180
R66,66.04,32.54,Top,180
R67,44.45,30.64,Top,0
R68,44.45,32.54,Top,0
R69,44.45,8.73,Top,270
R71,42.03,8.73,Top,90
R72,17.78,20.88,Top,180
R73,54.13,30.32,Top,0
R74,54.05,32.86,Top,0
R75,74.93,30.32,Top,0
R76,74.93,32.86,Top,0
R77,34.29,31.59,Top,270
R78,31.12,31.59,Top,180
R79,47.94,20.48,Top,0
R80,48.26,26.19,Top,0
R81,56.04,20.48,Top,180
R82,56.04,26.19,Top,180
R83,15.72,21.59,Top,180
R84,17.78,21.99,Top,180
R85,15.72,22.7,Top,180
R86,29.05,22.38,Top,0
R87,31.19,21.75,Top,0
R88,29.05,21.11,Top,0
R89,31.19,20.56,Top,0
R90,29.05,24.92,Top,0
R91,31.19,24.29,Top,0
R92,29.05,23.65,Top,0
R93,31.19,23.02,Top,0
R94,17.78,23.1,Top,180
R95,15.72,23.89,Top,180
R96,29.05,26.19,Top,0
R97,31.19,25.56,Top,0
R98,31.83,17.54,Top,180
R99,31.83,18.57,Top,0
U$2,63.5,3.02,Top,0
U$3,20.32,3.02,Top,0
